entity,label,family,primary_type,coarse_category,explicit_types,embedding_strategy
HGNC:10256,10256,NumericId,NumericId,NumericId,,categorical
HGNC:10257,10257,NumericId,NumericId,NumericId,,categorical
HGNC:10618,10618,NumericId,NumericId,NumericId,,categorical
HGNC:10658,10658,NumericId,NumericId,NumericId,,categorical
HGNC:10732,10732,NumericId,NumericId,NumericId,,categorical
HGNC:10776,10776,NumericId,NumericId,NumericId,,categorical
HGNC:10880,10880,NumericId,NumericId,NumericId,,categorical
HGNC:10943,10943,NumericId,NumericId,NumericId,,categorical
HGNC:11020,11020,NumericId,NumericId,NumericId,,categorical
HGNC:11026,11026,NumericId,NumericId,NumericId,,categorical
HGNC:11249,11249,NumericId,NumericId,NumericId,,categorical
HGNC:11331,11331,NumericId,NumericId,NumericId,,categorical
HGNC:11364,11364,NumericId,NumericId,NumericId,,categorical
HGNC:11378,11378,NumericId,NumericId,NumericId,,categorical
HGNC:11529,11529,NumericId,NumericId,NumericId,,categorical
HGNC:11530,11530,NumericId,NumericId,NumericId,,categorical
HGNC:11740,11740,NumericId,NumericId,NumericId,,categorical
HGNC:11766,11766,NumericId,NumericId,NumericId,,categorical
HGNC:11768,11768,NumericId,NumericId,NumericId,,categorical
HGNC:11769,11769,NumericId,NumericId,NumericId,,categorical
HGNC:11773,11773,NumericId,NumericId,NumericId,,categorical
HGNC:11892,11892,NumericId,NumericId,NumericId,,categorical
HGNC:11904,11904,NumericId,NumericId,NumericId,,categorical
HGNC:11905,11905,NumericId,NumericId,NumericId,,categorical
HGNC:11913,11913,NumericId,NumericId,NumericId,,categorical
HGNC:11914,11914,NumericId,NumericId,NumericId,,categorical
HGNC:11918,11918,NumericId,NumericId,NumericId,,categorical
HGNC:11919,11919,NumericId,NumericId,NumericId,,categorical
HGNC:11920,11920,NumericId,NumericId,NumericId,,categorical
HGNC:11922,11922,NumericId,NumericId,NumericId,,categorical
HGNC:11923,11923,NumericId,NumericId,NumericId,,categorical
HGNC:11924,11924,NumericId,NumericId,NumericId,,categorical
HGNC:11925,11925,NumericId,NumericId,NumericId,,categorical
HGNC:11926,11926,NumericId,NumericId,NumericId,,categorical
HGNC:11928,11928,NumericId,NumericId,NumericId,,categorical
HGNC:11929,11929,NumericId,NumericId,NumericId,,categorical
HGNC:11932,11932,NumericId,NumericId,NumericId,,categorical
HGNC:11935,11935,NumericId,NumericId,NumericId,,categorical
HGNC:11936,11936,NumericId,NumericId,NumericId,,categorical
HGNC:11937,11937,NumericId,NumericId,NumericId,,categorical
HGNC:11939,11939,NumericId,NumericId,NumericId,,categorical
HGNC:12004,12004,NumericId,NumericId,NumericId,,categorical
HGNC:12450,12450,NumericId,NumericId,NumericId,,categorical
HGNC:12680,12680,NumericId,NumericId,NumericId,,categorical
HGNC:12692,12692,NumericId,NumericId,NumericId,,categorical
HGNC:13310,13310,NumericId,NumericId,NumericId,,categorical
HGNC:1338,1338,NumericId,NumericId,NumericId,,categorical
