relation,label,kind,count,head_categories,tail_categories
imgt:hasImgtLabel,hasImgtLabel,ObjectProperty,1822,Segment:905|Construct:881|NumericId:36,ConstructLabels:1447|SegmentLabels:230|ChainLabels:23|CD8A:12|[Homo:9|maytansinoid:7|Disease:7|reducible:7|[G1:6|F(ab')2-G1-nd:4|Alternative:4|CD28:4|aldifitox:4|IgG1-kappa-[scFv-heavy-lambda]2:3|[IGHG1:2
imgt:isClinicalIndicationOf,isClinicalIndicationOf,ObjectProperty,1812,Disease:1799|Wegeners:3|Angiogenesis:3|Solid:3|Ex:2|Kidney:1|Renal:1,StudyProduct:1812
imgt:hasStudyProduct,hasStudyProduct,ObjectProperty,1812,Product:1812,StudyProduct:1812
imgt:isStudyProductOf,isStudyProductOf,ObjectProperty,1812,StudyProduct:1812,Product:1812
imgt:hasClinicalIndication,hasClinicalIndication,ObjectProperty,1812,StudyProduct:1812,Disease:1799|Solid:3|Angiogenesis:3|Wegeners:3|Ex:2|Renal:1|Kidney:1
imgt:hasClinicalPhase,hasClinicalPhase,ObjectProperty,1654,StudyProduct:1654,Phase:1589|Withdrawn:23|Discontinued:23|Preclinical:19
obo:BFO_0000050,partOf,ObjectProperty,1011,Segment:905|NumericId:106,Construct:1011
obo:BFO_0000051,hasPart,ObjectProperty,1011,Construct:1011,Segment:905|NumericId:106
imgt:isConstructOf,isConstructOf,ObjectProperty,881,Construct:881,mAb:652|Conjugate:120|Fused:81|Radiolabelled:28
imgt:hasConstruct,hasConstruct,ObjectProperty,881,mAb:652|Conjugate:120|Fused:81|Radiolabelled:28,Construct:881
imgt:isProductOf,isProductOf,ObjectProperty,869,Product:869,mAb:869
imgt:hasProduct,hasProduct,ObjectProperty,869,mAb:869,Product:869
imgt:produces,produces,ObjectProperty,857,Organisation:414|Amgen:27|Genmab:20|Bristol-Myers:17|Disease:17|MedImmune:16|Eli:13|Bayer:13|Pfizer:13|GlaxoSmithKline:13|AstraZeneca:12|OncoMed:9|Gilead:8|Merck:8|Boehringer:7,Product:857
imgt:isProducedBy,isProducedBy,ObjectProperty,857,Product:857,Organisation:414|Amgen:27|Genmab:20|Bristol-Myers:17|Disease:17|MedImmune:16|Eli:13|GlaxoSmithKline:13|Pfizer:13|Bayer:13|AstraZeneca:12|OncoMed:9|Gilead:8|Merck:8|Innovent:7
imgt:isTargetOf,isTargetOf,ObjectProperty,784,NumericId:741|Disease:11|ganglioside:11|FN:5|Lewis:3|Globo:2|HLA-DRB:1|DNA/histone:1|PAUF:1|ReceptorType:1|phosphatidylserine:1|frizzled:1|p/MH:1|HEK:1|HLA-DR10:1,mAb:784
sio:SIO_000291,SIO_000291,Unknown,784,mAb:784,NumericId:741|Disease:11|ganglioside:11|FN:5|Lewis:3|Globo:2|idiotope:1|ReceptorType:1|Wnt:1|frizzled:1|HEK:1|HLA-DRB:1|HLA-DR10:1|p/MH:1|DNA/histone:1
imgt:isLinkedToStructureAccessNumb,isLinkedToStructureAccessNumb,ObjectProperty,666,mAb:666,NumericId:572|1CLY:2|6T3J:2|1UCB:2|5O4O:1|6XKR:1|5GRJ:1|1S78:1|1YY8:1|5ICZ:1|6JC2:1|4LLU:1|5ID1:1|7CU5:1|5ESQ:1
imgt:hasReceptorFormat,hasReceptorFormat,ObjectProperty,644,Construct:644,IgG1 - kappa:226|ReceptorFormat:114|IgG4 - kappa:73|IgG1 - kappa - 4cys - drug:22|IgG2 - kappa:21|IgG1 - lambda:20|FPIA:20|IgG1 - nd:15|IgG1 - kappa - 4lys - drug:10|IgG1 - kappa - 2cys - drug:6|IgG2 - lambda:6|scFv-kappa-heavy-CD8A (CO-TM)-TNFRSF9 (CY)-CD247:5|IgG1-kappa-[PROTEIN]2:4|(scFv - heavy - kappa) - (scFv - heavy - lambda):4|IgG1 - kappa - S239C:4
imgt:hasMolecularComponent,hasMolecularComponent,ObjectProperty,644,Construct:644,IG:598|FPIA:20|CPCA:12|RPI:8|TR:6
imgt:isDecisionOf,isDecisionOf,ObjectProperty,580,Decision:580,StudyProduct:580
imgt:hasDecision,hasDecision,ObjectProperty,580,StudyProduct:580,Decision:580
imgt:isDecidedBy,isDecidedBy,ObjectProperty,580,Decision:580,Organisation:580
imgt:hasImgtStructure,hasImgtStructure,ObjectProperty,572,Construct:572,Struct-118321:1|Struct-85688568:1|Struct-124841:1|Struct-111451:1|Struct-65101:1|Struct-108012:1|Struct-91442:1|Struct-96111:1|Struct-110291:1|Struct-120401:1|Struct-111191:1|Struct-117102:1|Struct-123601:1|Struct-892289:1|Struct-105621:1
imgt:isImgtStructureOf,isImgtStructureOf,ObjectProperty,572,Struct-96479647:1|Struct-123492:1|Struct-111191:1|Struct-98321:1|Struct-98219821:1|Struct-96791:1|Struct-99529952:1|Struct-110211:1|Struct-10186101:1|Struct-10068100:1|Struct-102731:1|Struct-113032:1|Struct-106362:1|Struct-112181:1|Struct-108351:1,Construct:572
imgt:hasExpressionSystem,hasExpressionSystem,ObjectProperty,557,StudyProduct:557,ExpressionSystem:557
imgt:isExpressionSystemOf,isExpressionSystemOf,ObjectProperty,557,ExpressionSystem:557,StudyProduct:557
obo:RO_0002162,inTaxon,ObjectProperty,472,NumericId:219|Clone:216|Segment:15|Disease:5|ganglioside:3|Globo:1|idiotope:1|PAUF:1|Wnt:1|phosphatidylserine:1|p/MH:1|DNA/histone:1|ReceptorType:1|Lewis:1|frizzled:1,Homsap:275|Musmus:171|Pseudomonas:8|Lama:3|Ratnor:3|Ricinus:2|Macfas:2|Staphylococcus:2|Orycun:1|Bougainvillea:1|Chimeric:1|Phytolacca:1|Rattus:1|Corynebacterium:1
imgt:hasStatut,hasStatut,ObjectProperty,381,Decision:381,approval:367|withdrawal:13|Breakthrough:1
imgt:hasClinicalDomain,hasClinicalDomain,ObjectProperty,360,Disease:276|MOA:78|Ex:1|Kidney:1|Renal:1|Solid:1|Wegeners:1|Angiogenesis:1,Oncology:226|Immunology:53|Hematology:30|Disease:15|Ophthalmology:8|Infectiology:6|Neurology:4|Osteology:3|Urology:3|Dermatology:2|Cardiology:2|Gastroenterology:2|Rheumatology:2|Myology:1|Myelopathy:1
imgt:hasOriginClone,hasOriginClone,ObjectProperty,302,mAb:302,Clone:302
imgt:isOriginCloneOf,isOriginCloneOf,ObjectProperty,302,Clone:302,mAb:302
imgt:isDefinedBy,isDefinedBy,ObjectProperty,229,ReceptorType:227|ConstructLabels:2,IG-Light-Kappa-IGKC:42|IG-Light-Lambda-IGL:41|IG-Heavy-Mu-IGHM:13|IG-Heavy-Alpha-1-IGHA1:7|IG-Heavy-Gamma-2-b-IGHG2B:7|IG-Heavy-Gamma-4-IGHG4:7|IG-Heavy-Gamma-2-a-IGHG2A:7|IG-Heavy-Alpha:7|IG-Heavy-Gamma-3-IGHG3:7|IG-Heavy-Alpha-2-IGHA2:7|IG-Heavy-Delta-IGHD:7|TR-Delta-TRD:7|IG-Heavy-Gamma-2-IGHG2:7|IG-Heavy-Epsilon-IGHE:7|IG-Heavy-Gamma-1-IGHG1:7
