head_id,relation_id,tail_id
0,0,1
2,1,3
4,2,5
6,3,7
8,4,9
10,5,11
12,6,13
14,7,15
16,8,17
18,3,19
20,9,21
22,7,23
24,10,25
26,4,27
28,11,29
30,7,31
32,12,33
34,13,35
36,14,37
38,15,39
40,16,41
42,13,43
44,17,45
46,18,47
48,19,49
50,6,51
52,20,53
54,21,55
56,22,57
58,23,59
60,17,61
62,9,63
42,24,64
65,23,66
67,12,68
69,17,70
71,25,72
73,12,74
75,20,76
77,16,78
79,0,80
81,13,82
83,21,84
85,4,86
87,12,33
88,12,68
89,21,90
91,12,92
93,10,94
95,24,96
97,20,98
99,10,100
101,22,57
102,22,57
103,15,104
105,1,106
107,4,108
109,17,110
111,17,112
113,19,114
115,3,19
116,3,117
118,23,119
120,26,121
122,19,114
123,23,8
124,11,125
11,27,126
127,6,128
129,28,130
131,29,132
133,7,134
135,10,136
137,13,138
139,30,63
140,16,141
142,0,80
143,19,49
144,24,64
145,23,146
147,24,148
149,23,150
151,7,152
153,25,154
155,9,156
157,24,158
159,12,160
161,16,162
163,23,164
165,17,166
167,18,168
169,3,117
170,4,171
172,31,173
174,6,175
176,0,80
177,23,178
179,23,180
181,32,182
183,23,184
185,23,186
187,12,33
188,15,189
190,32,191
192,33,193
194,3,195
178,4,196
197,34,198
199,34,200
166,13,201
202,17,203
204,6,205
206,23,207
208,12,209
210,12,211
212,10,213
214,25,215
216,15,217
218,26,219
220,23,221
222,29,223
224,18,225
226,35,227
228,30,229
230,23,231
232,2,233
234,1,235
236,14,237
238,23,239
240,23,241
242,24,243
244,33,245
246,18,247
248,23,249
250,10,251
252,36,253
254,3,255
256,31,173
257,10,258
259,6,260
261,13,262
263,16,264
265,20,266
267,31,173
268,26,269
270,23,178
271,4,272
273,14,274
275,13,276
277,19,49
278,30,279
280,25,281
282,0,80
283,0,80
284,37,285
286,17,287
288,4,289
290,4,291
292,17,293
294,21,295
296,34,297
298,14,299
300,0,301
302,1,106
303,38,304
305,39,94
306,26,307
308,9,309
249,4,310
311,33,312
313,6,314
315,40,316
317,34,318
319,25,320
321,17,322
323,12,33
324,10,325
326,23,8
327,19,114
328,10,329
330,7,331
332,8,333
334,7,335
336,25,337
338,6,339
340,6,341
342,14,343
344,7,345
346,7,347
348,29,349
350,12,74
351,13,352
353,41,354
355,22,356
357,4,358
359,14,360
361,24,362
363,17,364
365,3,19
366,31,173
367,23,178
368,6,369
370,21,371
372,30,373
374,13,375
376,30,377
378,42,379
380,22,57
381,4,382
383,35,384
385,24,62
386,25,387
388,13,389
390,4,391
392,17,393
394,21,395
396,21,397
398,26,399
400,21,401
402,10,403
404,6,405
406,43,407
408,29,409
410,11,411
412,25,413
414,30,415
