relation,id
imgt:hasClinicalPhase,0
imgt:hasClinicalDomain,1
imgt:hasOriginClone,2
imgt:hasExpressionSystem,3
imgt:isClinicalIndicationOf,4
imgt:hasSpecificityClass,5
imgt:isProductOf,6
obo:BFO_0000050,7
imgt:isExpressionSystemOf,8
imgt:produces,9
imgt:isConstructOf,10
imgt:isDescribedBy,11
imgt:hasImgtLabel,12
imgt:hasStudyProduct,13
imgt:isDecisionOf,14
imgt:isLinkedToStructureAccessNumb,15
imgt:isTargetOf,16
imgt:isStudyProductOf,17
imgt:hasImgtStructure,18
obo:RO_0002162,19
sio:SIO_000291,20
obo:BFO_0000051,21
imgt:hasStatut,22
imgt:hasClinicalIndication,23
imgt:isProducedBy,24
imgt:hasConstruct,25
imgt:hasDecision,26
imgt:isSpecificityClassOf,27
imgt:hasBibliographicReference,28
imgt:hasReceptorFormat,29
imgt:hasProduct,30
imgt:hasMolecularComponent,31
imgt:isConjugatedWith,32
imgt:isOriginCloneOf,33
imgt:describes,34
imgt:isDecidedBy,35
imgt:hasMoleculeType,36
imgt:isDefinedBy,37
imgt:hasDesignation,38
obo:RO_0002461,39
imgt:isBibliographicReferenceOf,40
bao:BAO_0000196,41
imgt:isImgtStructureOf,42
imgt:defines,43
wiki:P1542,44
imgt:hasMechanism,45
imgt:hasBiosimilar,46
imgt:isFusedWith,47
obo:RO_0000056,48
imgt:isBiosimilarOf,49
imgt:hasMoleculeUnit,50
imgt:hasConfigurationType,51
imgt:isRadiolabeledWith,52
