head_id,relation_id,tail_id
0,0,1
2,1,3
4,1,5
6,2,7
8,3,9
10,1,11
12,4,13
14,1,15
16,5,17
18,6,19
20,7,21
22,4,23
24,1,25
26,4,27
28,8,29
30,4,31
32,9,33
34,8,35
36,4,27
37,10,38
39,11,40
41,12,42
43,5,44
45,6,46
47,10,48
49,13,50
51,14,52
53,1,54
55,1,56
57,15,58
59,16,60
61,4,62
63,4,27
64,4,65
66,4,67
68,17,69
70,1,71
72,1,73
74,4,75
76,1,77
78,18,79
80,19,81
82,1,83
84,9,85
86,4,87
88,4,27
89,20,90
91,1,92
93,10,94
95,4,96
97,9,98
99,1,100
101,1,102
103,13,104
105,4,23
106,0,107
94,8,108
109,4,67
110,20,111
112,4,113
114,19,115
116,21,117
118,22,119
120,4,121
122,8,123
124,23,125
126,1,127
128,8,129
130,4,67
131,8,132
133,4,23
134,24,135
136,5,137
138,25,139
140,1,141
142,4,143
144,4,23
145,26,146
147,1,148
149,19,150
151,23,152
153,1,154
155,1,156
157,2,7
158,1,159
34,8,160
161,4,162
163,27,164
165,4,65
166,4,27
167,10,168
169,28,170
171,21,2
172,29,173
174,4,121
175,10,176
177,1,178
179,30,180
181,31,182
183,1,184
185,32,186
187,33,188
189,3,190
191,34,87
192,35,193
194,29,195
196,36,197
198,17,199
200,17,201
202,4,67
203,37,204
205,16,60
206,34,87
207,38,208
209,39,210
128,8,211
212,29,213
214,32,215
216,40,217
218,1,219
220,4,65
221,1,222
223,29,224
225,8,226
227,41,228
229,30,230
231,23,232
233,42,234
235,39,236
237,1,238
239,43,240
241,21,242
243,4,244
245,41,228
230,44,246
247,45,248
249,46,250
251,20,111
252,0,253
254,41,228
255,1,256
257,4,31
258,47,259
260,17,199
261,8,262
263,4,264
265,27,164
266,1,267
268,48,269
270,2,271
272,24,273
274,11,275
276,49,277
278,1,279
280,50,281
268,3,282
283,4,264
284,28,233
285,32,286
287,18,288
289,41,228
290,2,7
291,4,244
292,39,293
294,18,295
296,48,297
298,21,299
300,1,301
302,4,303
304,2,7
305,31,306
307,51,308
309,52,310
311,1,312
313,4,23
314,1,315
316,16,60
317,4,318
319,4,320
321,1,322
323,18,324
325,4,23
326,27,164
327,4,23
328,53,329
280,4,330
331,16,332
333,4,121
334,1,335
336,4,337
338,25,339
340,25,341
342,25,343
344,6,345
346,8,347
348,14,349
350,5,351
352,1,353
354,4,355
356,4,357
358,1,359
360,54,361
362,7,363
364,46,365
366,4,367
368,55,369
370,2,7
371,1,372
373,10,131
374,1,375
376,16,377
378,8,379
380,9,381
382,4,355
383,34,87
384,42,385
386,10,94
387,24,388
389,1,390
391,1,392
393,4,264
394,56,395
396,20,111
397,1,398
233,42,399
400,10,128
