head_id,relation_id,tail_id
0,0,1
2,0,3
4,0,5
6,0,7
8,1,9
10,0,7
11,0,12
13,0,14
15,2,16
17,3,18
19,4,20
21,5,22
23,6,24
25,7,26
27,8,28
29,9,30
31,0,32
33,4,34
35,0,36
37,8,38
39,0,40
41,0,1
42,0,43
44,10,45
46,11,47
48,12,49
50,13,51
52,0,53
54,14,55
56,15,57
58,0,59
60,0,61
62,0,63
64,0,36
65,16,66
67,0,68
69,0,70
71,0,32
72,16,73
74,1,75
76,17,77
78,18,79
80,10,81
82,0,83
84,10,85
86,9,87
88,12,89
90,18,91
92,4,93
94,8,95
94,4,96
97,0,98
99,10,100
101,14,102
103,16,104
105,14,106
107,14,108
109,0,110
111,4,112
113,19,114
115,0,116
117,20,118
119,0,120
121,13,122
123,14,124
125,15,126
127,0,128
129,21,130
131,20,132
133,22,134
135,0,136
137,20,138
139,12,140
139,12,141
142,12,143
144,1,145
146,19,147
148,0,7
149,3,150
151,17,152
153,1,154
155,6,24
156,0,36
157,23,158
159,12,160
161,16,162
163,4,164
165,1,166
167,24,78
168,0,116
169,17,152
170,25,171
172,5,173
174,0,1
175,12,176
177,26,178
179,0,53
180,0,83
181,2,182
183,4,184
185,1,186
187,18,188
189,0,7
190,2,191
192,27,193
194,0,195
196,7,197
78,18,198
87,28,86
199,0,36
200,21,201
202,0,12
203,0,204
205,29,206
207,30,208
209,0,53
210,0,1
211,1,212
213,0,1
214,4,96
215,15,216
217,16,218
139,12,219
220,13,221
222,0,223
224,0,1
225,7,226
227,19,228
229,2,230
221,10,220
231,0,7
232,0,63
233,14,234
235,21,236
237,0,7
238,0,63
239,0,7
240,29,241
78,18,242
243,31,244
245,16,246
247,0,70
248,10,249
250,24,78
251,32,252
253,5,254
255,21,256
257,23,158
258,4,259
260,16,261
262,0,263
264,8,265
266,4,112
267,10,268
269,0,14
270,29,271
272,33,273
274,20,275
276,10,277
278,12,279
280,4,112
281,17,282
283,34,284
285,16,286
287,22,288
289,9,290
291,14,292
293,34,284
294,0,295
296,24,78
297,19,298
299,25,300
301,13,302
303,0,63
304,34,284
305,3,306
307,16,257
194,12,308
309,0,310
311,2,312
313,0,204
314,27,315
316,12,307
317,6,24
318,17,152
319,14,139
320,9,321
322,25,323
324,35,324
325,17,152
326,0,327
328,30,208
329,0,330
331,12,332
333,0,36
334,17,152
335,12,336
337,21,338
339,20,340
341,4,112
78,18,342
343,0,32
344,0,40
345,36,346
347,19,348
349,0,3
350,3,150
351,10,352
353,37,152
354,10,355
356,16,357
358,32,359
360,9,361
362,0,12
363,7,364
365,12,366
367,15,368
300,1,369
370,2,371
372,0,1
373,0,1
374,28,375
376,15,377
378,26,379
102,12,137
380,17,152
381,38,382
383,12,384
385,19,386
387,10,388
389,28,390
391,5,392
393,25,394
395,21,396
397,34,284
398,0,399
400,0,36
401,19,402
78,18,403
404,14,405
406,0,63
407,17,152
408,25,409
410,13,411
139,12,412
391,7,413
414,0,327
415,24,78
416,0,116
417,14,418
419,12,420
421,39,422
423,0,3
424,13,425
426,12,427
428,4,429
430,14,431
432,23,158
433,3,306
434,0,70
435,0,327
436,3,306
437,0,63
438,12,439
440,4,441
442,8,443
444,17,152
445,0,1
446,22,447
448,4,112
449,22,450
451,18,452
453,14,454
455,0,70
456,0,1
457,0,7
458,0,459
460,5,461
462,0,32
463,0,7
464,4,465
466,31,467
468,0,70
469,0,53
470,4,112
471,28,472
473,20,474
475,14,476
477,20,478
479,24,78
480,22,481
482,0,1
483,17,152
484,25,485
486,0,7
487,1,488
489,0,490
491,15,492
493,0,36
494,5,495
496,19,497
78,18,498
499,3,306
500,20,501
502,5,503
504,4,505
506,0,507
508,3,509
510,12,511
512,0,3
513,0,53
125,15,44
514,0,7
515,0,516
517,0,1
518,19,519
520,0,12
521,16,522
523,0,70
524,27,525
526,0,14
527,14,528
529,26,530
531,20,532
533,17,152
78,18,534
535,3,536
537,22,538
539,0,128
540,9,541
542,21,543
544,7,545
546,20,345
547,0,548
549,35,550
551,6,552
553,17,554
555,0,63
556,25,557
558,17,152
559,0,560
561,12,562
563,0,3
564,0,7
565,0,3
566,0,120
567,0,568
569,0,570
571,4,112
572,12,573
546,5,574
575,0,7
576,0,12
577,0,1
578,0,579
580,21,581
582,12,583
584,38,585
139,12,586
587,17,152
588,26,589
590,8,591
592,19,322
593,1,594
595,0,596
597,0,598
502,40,599
600,7,601
602,0,14
603,14,528
604,0,605
606,41,607
608,21,609
610,0,1
611,20,612
613,10,614
615,21,616
617,0,618
619,0,12
620,0,621
622,22,623
624,9,625
626,0,3
627,22,628
629,20,367
630,19,631
632,11,633
634,42,635
636,15,637
638,19,639
640,14,641
642,0,70
643,0,644
645,0,3
646,12,647
225,14,648
649,41,650
651,15,652
653,1,654
655,0,656
657,20,658
659,22,660
78,18,661
137,5,662
663,0,1
664,8,304
665,14,666
667,0,7
668,12,669
670,29,206
565,1,671
672,14,175
673,14,48
674,0,36
675,8,676
677,7,678
88,12,679
680,0,681
682,5,683
684,0,7
685,8,686
687,23,158
502,5,688
689,0,1
690,0,691
692,14,693
694,4,112
695,43,649
696,5,697
698,5,699
700,14,701
702,19,703
704,36,705
706,44,707
708,21,709
710,0,36
525,10,397
78,18,711
712,28,713
714,3,715
716,0,7
717,0,36
718,0,1
719,14,108
720,17,152
721,0,7
492,0,53
722,0,7
723,0,120
724,0,53
725,10,726
727,1,728
729,9,730
15,1,731
732,0,295
733,0,7
734,0,735
736,4,737
738,23,158
739,34,284
740,38,741
742,16,743
744,23,158
745,12,746
106,12,747
748,4,749
616,0,3
750,23,158
751,9,752
753,15,754
755,0,7
756,14,757
758,12,84
88,12,759
760,14,438
761,22,762
763,43,764
765,12,766
512,19,767
768,21,769
770,0,327
771,0,3
772,0,116
773,26,774
775,2,776
777,0,14
778,6,779
780,1,781
782,8,783
784,0,785
786,14,278
787,0,7
788,2,789
28,29,790
791,17,152
792,1,793
794,6,24
795,21,796
797,23,158
582,12,798
799,26,800
801,40,802
803,7,804
805,1,499
806,29,807
808,2,809
810,12,460
811,12,812
813,0,295
814,3,715
815,0,63
816,7,817
818,14,819
431,12,820
821,15,822
823,13,824
825,8,826
827,39,422
828,4,112
829,0,1
830,0,1
831,1,475
832,4,112
833,2,834
835,14,836
837,1,838
839,4,840
841,0,842
843,10,844
269,30,208
845,0,596
846,0,53
847,22,848
849,26,850
851,19,852
853,20,854
855,0,856
857,0,32
858,21,859
860,8,861
862,26,863
864,0,116
865,3,509
866,39,867
868,17,152
869,16,870
871,0,872
873,42,635
874,4,112
875,21,876
877,8,878
54,21,879
480,34,284
880,22,881
882,0,883
884,38,885
886,14,139
887,14,888
889,0,890
891,0,3
892,4,505
443,0,36
893,4,112
894,24,78
895,0,7
896,14,139
139,12,897
898,0,327
899,21,900
901,30,208
175,12,902
903,0,40
904,25,905
906,13,907
908,30,208
909,9,910
911,17,152
912,0,1
913,0,1
895,21,914
915,0,916
917,14,918
919,0,1
346,14,701
920,21,592
921,12,922
923,0,1
924,23,158
925,0,926
927,0,63
928,2,929
930,8,931
932,22,933
698,38,934
935,0,7
667,16,936
937,21,938
939,12,940
765,12,941
942,40,943
944,0,70
945,0,1
946,14,476
947,25,948
949,0,53
950,0,40
951,17,152
952,7,953
954,6,24
139,12,955
956,10,957
958,18,959
141,45,960
961,0,735
962,26,963
964,0,152
965,8,966
967,1,968
969,12,970
159,0,971
345,36,371
972,39,867
973,22,974
975,34,284
976,28,977
978,5,979
980,4,981
982,4,983
854,15,984
985,0,1
986,0,14
987,19,988
989,3,536
990,22,991
992,0,7
993,16,994
995,21,996
997,10,998
999,21,1000
1001,12,1002
1003,4,96
1004,21,1005
1006,26,1007
102,12,1008
1009,18,1010
139,12,1011
1012,10,1013
176,21,1014
1015,0,735
1016,31,1017
1018,28,1019
1020,0,7
516,17,152
1021,25,1022
348,25,1023
93,0,1024
1025,22,27
1026,0,152
1027,1,1028
1029,1,1030
1031,0,548
1032,21,1033
1034,28,1035
230,14,582
1036,14,159
745,12,1037
1038,0,204
1039,14,48
950,37,1040
1041,20,1042
1043,23,1044
1045,20,1046
494,0,53
1047,0,1
1048,17,152
1049,20,532
1050,1,1051
1052,0,1
1053,14,693
1054,28,410
102,12,1055
1056,12,1057
1058,1,1059
1060,21,1061
1062,9,1063
1064,41,1065
1066,0,3
1067,0,1068
1069,14,1070
977,29,206
1071,24,78
1072,46,1073
1074,20,125
1075,0,40
636,39,867
1076,29,1077
510,12,1078
1079,0,1080
1081,0,890
1082,21,626
1083,2,1084
1085,0,1086
1087,17,152
1088,11,1089
1090,0,327
1091,0,596
1092,13,531
142,12,1093
1094,13,1095
88,12,1096
381,10,1097
1098,0,1099
1100,12,1101
1102,7,1103
1104,0,1
973,0,36
1105,8,1106
1107,23,158
1108,28,1109
1110,0,295
1111,0,63
1112,21,1113
1114,0,1115
1116,19,1117
1118,14,1119
1120,22,1121
1122,0,70
1123,3,509
1124,0,12
1125,0,53
1126,34,284
1127,9,1128
1129,14,1130
450,4,1131
143,14,582
139,12,1132
1133,0,1134
64,4,112
1135,20,1136
1137,0,1
1138,0,7
1139,0,1140
1141,0,1142
1143,0,3
1144,0,1145
1146,21,1147
1148,0,7
1149,0,1150
1151,3,306
589,0,7
711,21,1152
1153,21,1154
1155,0,7
1156,47,1157
1158,10,1159
1160,15,1161
1162,0,53
1163,8,1164
1165,12,629
1166,21,1167
1168,4,164
1169,38,1170
1171,4,1172
1173,29,1174
1175,28,1176
1177,4,112
1178,21,1179
1180,0,7
1181,3,306
736,8,1182
1183,14,701
1184,21,1185
645,1,1186
1187,2,1188
367,15,1189
212,24,187
1190,48,1191
1192,5,1193
1194,20,1195
1196,30,208
1197,13,1198
1199,49,1200
1201,21,1202
1203,36,473
1204,0,36
304,22,664
1205,0,36
1136,15,1206
693,12,1207
1208,0,53
1209,17,152
1210,0,63
1032,0,7
1211,30,208
431,12,1212
1213,4,1214
1215,0,1216
1217,1,1218
1219,13,1220
1221,4,112
1222,0,14
1223,0,7
1224,1,1225
1226,4,1227
1228,21,1229
1230,3,306
646,12,1231
1232,3,1233
1234,23,158
1235,4,1236
1237,1,1238
1239,0,1
1240,14,778
1241,14,88
1242,0,1
102,12,1208
1243,20,1244
1245,14,419
1246,0,872
1247,0,1248
1249,27,1250
1251,35,1252
1253,0,7
1254,20,1255
1256,9,1257
693,12,1186
1258,21,364
1259,0,53
305,0,7
1260,0,1261
1262,12,1263
1264,13,1265
383,12,51
1266,18,1267
1268,0,152
1269,7,1270
1271,17,152
1272,6,552
1273,0,295
139,12,1274
1275,3,509
1276,0,36
1277,21,1278
1279,21,1280
1281,3,509
1282,0,7
1283,15,502
1284,14,1285
1286,0,548
1287,23,158
139,12,1288
1289,0,7
1290,0,1
1291,0,12
1292,0,1
170,25,1293
1294,39,422
1295,0,12
212,16,1296
1297,23,158
78,18,1298
1299,0,7
1300,0,327
1301,0,14
1302,33,1303
1304,0,735
1305,0,70
1306,0,1307
1308,17,152
1309,0,1310
1311,0,36
1312,15,1169
1313,14,1314
1315,0,1
1316,0,7
1317,29,1318
1319,4,1320
1321,28,1322
1323,0,1024
1324,1,1325
1326,28,1327
1328,0,12
1329,0,63
1330,21,1331
1332,19,1333
1334,0,40
1335,14,1336
1337,20,1338
1339,21,1340
1341,4,112
1342,0,14
1343,4,1344
1345,17,152
1346,0,70
1347,1,1348
1349,0,63
1350,4,112
1351,0,83
1352,21,1340
1353,0,36
1354,14,1355
1356,2,824
1357,26,1358
1359,41,1360
1361,0,1
1362,8,1164
1363,17,152
1364,30,1365
1366,0,152
1367,0,14
1368,16,1369
1370,0,1371
1372,23,158
1373,0,14
1374,11,1375
1376,14,1377
1378,0,1099
