mAb,Target,Indication
mAb_1,?term=HIV-1,HIV-1_infection_AIDS
mAb_10,?term=HIV-1,HIV-1_infection_AIDS
mAb_100,!/hgnc_id/HGNC:1674,Autoimmune_diseases
mAb_100,!/hgnc_id/HGNC:1674,B_cell_acute_lymphoblastic_leukemia_(B_cell_ALL)
mAb_100,!/hgnc_id/HGNC:1674,Kidney_transplantation
mAb_100,!/hgnc_id/HGNC:1674,Psoriasis
mAb_100,!/hgnc_id/HGNC:1674,Intravenous_steroid-refractory_ulcerative_colitis_(IVSR-UC)
mAb_100,!/hgnc_id/HGNC:1674,Allograft_rejection
mAb_1000,!/hgnc_id/HGNC:28873,Solid_tumors
mAb_1001,!/hgnc_id/HGNC:6893,Progressive_supranuclear_palsy_(PSP)
mAb_1002,!/hgnc_id/HGNC:18628,Solid_tumors
mAb_1003,!/hgnc_id/HGNC:1674,Multiple_myeloma_(MM)
mAb_1003,!/hgnc_id/HGNC:18508,Multiple_myeloma_(MM)
mAb_1004,!/hgnc_id/HGNC:11918,Solid_tumors_advanced_or_metastatic
mAb_1005,!/hgnc_id/HGNC:11530,Cancers_non-small_cell_lung_(NSCLC)
mAb_1006,!/hgnc_id/HGNC:11530,Cancers_non-small_cell_lung_(NSCLC)
mAb_1007,!/hgnc_id/HGNC:3236,Cancers
mAb_1008,ERA_(Evelyn-Rockitniki-Abelseth)_glycoprotein_ectodomain_epitope_G-III,Rabies_post-exposure
mAb_1009,!/hgnc_id/HGNC:8760,Cancers_non-small_cell_lung_(NSCLC)
mAb_1009,!/hgnc_id/HGNC:8760,Solid_tumors
mAb_1009,!/hgnc_id/HGNC:8760,Lymphoma_follicular_(FL)
mAb_101,!/hgnc_id/HGNC:1674,B_cell_acute_lymphoblastic_leukemia_(B_cell_ALL)
mAb_101,!/hgnc_id/HGNC:1674,Lymphoma_diffuse_large_B_cell_(DLBCL)
mAb_101,!/hgnc_id/HGNC:1674,Lymphoma_B_cell
mAb_101,!/hgnc_id/HGNC:1633,B_cell_acute_lymphoblastic_leukemia_(B_cell_ALL)
mAb_101,!/hgnc_id/HGNC:1633,Lymphoma_diffuse_large_B_cell_(DLBCL)
mAb_101,!/hgnc_id/HGNC:1633,Lymphoma_B_cell
mAb_1010,!/hgnc_id/HGNC:5351,Solid_tumors
mAb_1011,!/hgnc_id/HGNC:1667,Multiple_myeloma_(MM)
mAb_1012,!/hgnc_id/HGNC:11919,Solid_tumors
mAb_1013,!/hgnc_id/HGNC:21087,Solid_tumors_advanced_or_metastatic
mAb_1014,!/hgnc_id/HGNC:399,Solid_tumors
mAb_1014,!/hgnc_id/HGNC:27912,Solid_tumors
mAb_1015,!/hgnc_id/HGNC:16028,Asthma
mAb_1015,!/hgnc_id/HGNC:16028,Chronic_Obstructive_Pulmonary_Disease_(COPD)
mAb_1016,!/hgnc_id/HGNC:620,Dementia_Alzheimer_s_type
mAb_1017,!/hgnc_id/HGNC:6476,Solid_tumors
mAb_1017,!/hgnc_id/HGNC:6476,Lymphoma_follicular_(FL)
mAb_1018,ERA_(Evelyn-Rockitniki-Abelseth)_glycoprotein_ectodomain_epitope_G-III,Rabies_post-exposure
mAb_1019,!/hgnc_id/HGNC:1667,Multiple_myeloma_(MM)
mAb_102,!/hgnc_id/HGNC:5992,Rheumatoid_arthritis_(RA)
mAb_102,!/hgnc_id/HGNC:5992,Type_2_diabetes_(T2_DM)
mAb_102,!/hgnc_id/HGNC:5992,Behçets_disease
mAb_102,!/hgnc_id/HGNC:5992,Type_1_diabetes
mAb_102,!/hgnc_id/HGNC:5992,Schnitzler_syndrome
mAb_102,!/hgnc_id/HGNC:5992,Cardiovascular_disease
mAb_1020,!/hgnc_id/HGNC:3621,Autoimmune_diseases
mAb_1020,!/hgnc_id/HGNC:3621,Myasthenia_Gravis_(MG)
mAb_1021,!/hgnc_id/HGNC:20001,Hypercholesterolemia
mAb_1022,!/hgnc_id/HGNC:17635,Solid_tumors
mAb_1023,!/hgnc_id/HGNC:3236,Solid_tumors
mAb_1024,!/hgnc_id/HGNC:2505,Solid_tumors
mAb_1025,!/hgnc_id/HGNC:11914,Solid_tumors
mAb_1026,!/hgnc_id/HGNC:11918,Solid_tumors
mAb_1027,!/hgnc_id/HGNC:7315,B_cell_lymphoma
mAb_1028,!/hgnc_id/HGNC:3788,Cancers_prostate
mAb_1029,!/hgnc_id/HGNC:3788,Cancers_prostate
mAb_103,!/hgnc_id/HGNC:6138,Platelet_aggregation
mAb_1030,!/hgnc_id/HGNC:18437,Solid_tumors
mAb_1031,!/hgnc_id/HGNC:17635,Cancers_non-small_cell_lung_(NSCLC)
mAb_1031,!/hgnc_id/HGNC:17635,Solid_tumors
mAb_1031,!/hgnc_id/HGNC:17635,Hodgkin_lymphoma
mAb_1031,!/hgnc_id/HGNC:17635,T_cell_lymphoma
mAb_1032,!/hgnc_id/HGNC:8760,Solid_tumors
mAb_1032,!/hgnc_id/HGNC:8760,Hematologic-blood_cancer
mAb_1032,!/hgnc_id/HGNC:6476,Solid_tumors
mAb_1032,!/hgnc_id/HGNC:6476,Hematologic-blood_cancer
