entity,id
imgt:StudyProduct_Akeso_Biopharma_Inc_GE_Junction_Cancer_1194,0
imgt:Phase_I/II,1
imgt:Multicentric_Castlemans_disease_(MCD),2
imgt:Immunology,3
imgt:mAb_1017,4
imgt:Clone_1017,5
imgt:StudyProduct_Schering-Plough_Hairy_cell_leukemia_(HCL)_626,6
imgt:_E.coli_(Escherichia_coli),7
imgt:Cancers_gastric,8
imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_gastric_97,9
imgt:mAb_545,10
imgt:bispecific,11
imgt:Product_Bristol-Myers_Squibb_291,12
imgt:mAb_291,13
imgt:Segment_1161_1,14
imgt:Construct_1161,15
imgt:_NS0_mouse_myeloma_cells,16
imgt:StudyProduct_Pfizer_Hepatocellular_carcinoma_(HCC)_561,17
imgt:StudyProduct_Regeneron_Pharmaceuticals_Inc_Cancers_950,18
imgt:_CHO_(Chinese_Hamster_Ovary)_cells,19
imgt:ImmunoGen_Inc,20
imgt:Product_ImmunoGen_Inc_601,21
imgt:Segment_100_1,22
imgt:Construct_100,23
imgt:Construct_1212,24
imgt:mAb_1212,25
imgt:Cancers_ovarian,26
imgt:StudyProduct_Neovii_Biotech_GmbH_Cancers_ovarian_218,27
imgt:Fc-Alpha-1,28
imgt:FC-ALPHA-1,29
imgt:Segment_Construct_chelator_corixetan_1139_1,30
imgt:Construct_chelator_corixetan_1139,31
imgt:Construct_505,32
imgt:IgG1-kappa,33
imgt:Product_ADC_Therapeutics_228,34
imgt:StudyProduct_ADC_Therapeutics_Hodgkin_lymphoma_228,35
imgt:Decision_GlaxoSmithKline_Multiple_myeloma_(MM)_784_2_FDA,36
imgt:StudyProduct_GlaxoSmithKline_Multiple_myeloma_(MM)_784,37
imgt:mAb_11,38
imgt:8005,39
HGNC:23029,40
imgt:mAb_904,41
imgt:Product_AbbVie_Inc_720,42
imgt:StudyProduct_AbbVie_Inc_Multiple_myeloma_(MM)_720,43
imgt:StudyProduct_Seattle_genetics_Inc_Lymphoma_cutaneous_T_cell_(CTCL)_324,44
imgt:Product_Seattle_genetics_Inc_324,45
imgt:Construct_1232,46
imgt:Struct-118321,47
imgt:Clone_168,48
imgt:Homsap,49
imgt:Product_Alkermes_Inc_1118,50
imgt:mAb_1118,51
imgt:mAb_125,52
HGNC:1643,53
imgt:Construct_Indolino-benzodiazepine_compound_type_linker_879,54
imgt:Segment_Construct_Indolino-benzodiazepine_compound_type_linker_879_1,55
imgt:Decision_Sanofi-Aventis_US_LLC_Multiple_myeloma_(MM)_539_1_FDA,56
imgt:approval,57
