node,degree
imgt:IgG1-kappa,634
imgt:IG,598
imgt:Phase_I,560
imgt:FDA,491
imgt:Phase_II,373
imgt:approval,367
imgt:Phase_M,306
imgt:_CHO_(Chinese_Hamster_Ovary)_cells,301
imgt:Homsap,275
imgt:Solid_tumors,244
imgt:IgG1 - kappa,226
imgt:Oncology,226
imgt:Orphan_drug,199
imgt:Phase_I/II,183
imgt:Musmus,171
imgt:IgG4-kappa,156
imgt:Phase_III,149
imgt:bispecific,87
HGNC:17635,85
imgt:Cancers_non-small_cell_lung_(NSCLC),81
imgt:Cancers,78
imgt:IgG4 - kappa,73
imgt:Multiple_myeloma_(MM),73
HGNC:8760,70
imgt:Blocking,68
imgt:Immunostimulant,65
imgt:Non-Hodgkins_lymphoma_(NHL),60
imgt:EMA,54
imgt:Immunology,53
HGNC:1674,51
imgt:Cancers_ovarian,47
imgt:IgG2-kappa,46
imgt:Cancers_gastric,45
imgt:_CHO-K1,45
imgt:Acute_myeloid_leukemia_(AML),44
imgt:Cancers_breast,44
imgt:IG-Light-Kappa-IGKC,44
imgt:IG-Light-Lambda-IGL,43
imgt:Lymphoma_diffuse_large_B_cell_(DLBCL),41
imgt:Chronic_lymphocytic_leukemia_(CLL),40
imgt:IgG1-nd,40
HGNC:5525,37
HGNC:3430,34
imgt:Roche_F_Hoffmann-La_Roche_Ltd,34
imgt:Cancers_colorectal_(CRC),33
imgt:Cancers_pancreatic,32
imgt:IgG1-lambda2,31
HGNC:3236,30
imgt:Hematology,30
imgt:Melanoma,29
HGNC:1633,28
imgt:Amgen,27
imgt:Cancers_prostate,27
imgt:Fc-effector_function,26
imgt:Hepatocellular_carcinoma_(HCC),26
imgt:cleavable_maleimidocaproyl-valyl-citrullinyl-p-aminobenzyloxycarbonyl_(mc-val-cit-PABC)_type_linker,26
imgt:monomethyl_auristatin_E_(MMAE),26
imgt:AbbVie_Inc,25
imgt:EC,25
imgt:Genentech_Inc,25
imgt:Cancers_colorectal_(CRC)_metastatic,24
imgt:Cancers_small_cell_lung_(SCLC),24
