query_idx,mab,study_product,genes,n_specific,n_plausible,model_fraction,prior_fraction,enrichment,n_unmatched,status
0,imgt:mAb_1171,imgt:StudyProduct_Innovent_Biologics_Solid_tumors_1171,PDCD1;ERBB2,17,13,0.7647,0.6477,1.1806,4,scored
1,imgt:mAb_1153,imgt:StudyProduct_Amgen_Solid_tumors_1153,PDCD1,17,11,0.6471,0.5981,1.0818,6,scored
2,imgt:mAb_940,imgt:StudyProduct_Novo_Nordisk_Rheumatoid_arthritis_(RA)_940,C5AR1,17,9,0.5294,0.4233,1.2507,8,scored
3,imgt:mAb_1128,imgt:StudyProduct_Sinocelltech_Ltd_Hepatocellular_carcinoma_(HCC)_1128,PDCD1,18,13,0.7222,0.6015,1.2008,5,scored
4,imgt:mAb_902,imgt:StudyProduct_AbbVie_Inc_Solid_tumors_902,EGFR,18,10,0.5556,0.4684,1.186,8,scored
5,imgt:mAb_366,imgt:StudyProduct_Kyowa_Hakko_Kirin_Tropical_spastic_paraparesis_(TSP_model_for_multiple_sclerosis)_366,NOCT,19,2,0.1053,0.098,1.0739,17,scored
6,imgt:mAb_1054,imgt:StudyProduct_MacroGenics_Inc_Solid_tumors_advanced_or_metastatic_1054,CD276;CD3E,17,15,0.8824,0.7244,1.2181,2,scored
7,imgt:mAb_408,imgt:StudyProduct_Amgen_Cancers_endometrial_(EC)_408,ANGPT2,18,11,0.6111,0.4866,1.2559,7,scored
8,imgt:mAb_1263,imgt:StudyProduct_Regeneron_Pharmaceuticals_Inc_Multiple_myeloma_(MM)_1263,CD3E;TNFRSF17,17,16,0.9412,0.7025,1.3397,1,scored
9,imgt:mAb_602,imgt:StudyProduct_Debiopharm_Internaltional_SA_Lymphoma_diffuse_large_B_cell_(DLBCL)_602,CD37,18,8,0.4444,0.4115,1.0802,10,scored
10,imgt:mAb_1266,imgt:StudyProduct_Sutro_Biopharma_Inc_Cancers_ovarian_1266,FOLR1,17,10,0.5882,0.3865,1.522,7,scored
11,imgt:mAb_255,imgt:StudyProduct_Immunomedics_Inc_Cancers_255,AFP,17,3,0.1765,0.1697,1.04,14,scored
12,imgt:mAb_470,imgt:StudyProduct_OncoMed_Pharmaceuticals_Solid_tumors_470,,,,,,,,no_target_or_ot
13,imgt:mAb_1082,imgt:StudyProduct_Jounce_Therapeutics_Solid_tumors_1082,PDCD1,17,11,0.6471,0.5989,1.0803,6,scored
14,imgt:mAb_1365,imgt:StudyProduct_Lyvgen_Biopharma_Cancers_gastric_1365,PDCD1,17,10,0.5882,0.6028,0.9758,7,scored
15,imgt:mAb_1346,imgt:StudyProduct_ImmunoGen_Inc_Solid_tumors_1346,ADAM9,17,10,0.5882,0.4475,1.3145,7,scored
16,imgt:mAb_467,imgt:StudyProduct_OncoMed_Pharmaceuticals_Cancers_small_cell_lung_(SCLC)_467,NOTCH3;NOTCH2,18,14,0.7778,0.6175,1.2595,4,scored
17,imgt:mAb_1181,imgt:StudyProduct_Genmab_A/S_Solid_tumors_1181,CD40;TNFRSF9,17,14,0.8235,0.6769,1.2166,3,scored
