model,stratum,n_queries,n_seeds,mrr_esm2_mean,mrr_random_mean,delta_mrr,delta_mrr_sd_acrossseeds,paired_t,paired_p
RotE,esm,229,5,0.333953,0.323562,0.01039,0.004915,4.7275,0.00912
RotE,random,68,5,0.236412,0.221688,0.014724,0.005376,6.1243,0.0036
RotE,all,297,5,0.31162,0.300238,0.011382,0.003914,6.5027,0.00289
TransE,esm,229,5,0.335765,0.320439,0.015326,0.00504,6.7995,0.00244
TransE,random,68,5,0.236665,0.214425,0.02224,0.014593,3.4077,0.02708
TransE,all,297,5,0.313075,0.296166,0.016909,0.002887,13.0954,0.0002
RefE,esm,229,5,0.331185,0.321199,0.009986,0.004366,5.1142,0.00691
RefE,random,68,5,0.244123,0.216957,0.027166,0.006261,9.7022,0.00063
RefE,all,297,5,0.311252,0.297332,0.01392,0.003435,9.061,0.00082
MurE,esm,229,5,0.317463,0.314894,0.002569,0.002747,2.0909,0.10473
MurE,random,68,5,0.216373,0.21674,-0.000366,0.009801,-0.0836,0.93739
MurE,all,297,5,0.294318,0.292421,0.001897,0.001838,2.3083,0.08219
AttE,esm,229,5,0.317099,0.315605,0.001494,0.002489,1.3426,0.25054
AttE,random,68,5,0.222493,0.217991,0.004502,0.012515,0.8044,0.46627
AttE,all,297,5,0.295438,0.293255,0.002183,0.003784,1.2901,0.26656
CP,esm,229,5,0.314639,0.300092,0.014547,0.040631,0.8006,0.46823
CP,random,68,5,0.208905,0.180285,0.02862,0.019662,3.2548,0.03124
CP,all,297,5,0.29043,0.272661,0.017769,0.028258,1.4061,0.23243
AttH,esm,229,5,0.313435,0.310289,0.003146,0.008128,0.8656,0.43556
AttH,random,68,5,0.204227,0.190649,0.013578,0.008629,3.5184,0.02449
AttH,all,297,5,0.288431,0.282897,0.005535,0.006825,1.8133,0.144
RefH,esm,229,5,0.312473,0.312764,-0.000291,0.000293,-2.2204,0.09057
RefH,random,68,5,0.189786,0.189001,0.000784,0.001129,1.5534,0.19529
RefH,all,297,5,0.284383,0.284428,-4.5e-05,0.000106,-0.9463,0.39759
RotH,esm,229,5,0.273669,0.271031,0.002638,0.021328,0.2766,0.79583
RotH,random,68,5,0.227822,0.232104,-0.004282,0.021405,-0.4473,0.67783
RotH,all,297,5,0.263172,0.262118,0.001054,0.020411,0.1154,0.91367
__POOLED__,esm,229,5,0.316631,0.309986,0.006645,0.003695,4.0209,0.01585
__POOLED__,random,68,5,0.220756,0.208871,0.011885,0.003024,8.7892,0.00092
__POOLED__,all,297,5,0.29468,0.286835,0.007845,0.002441,7.1858,0.00199
