model,init,seed,test_mr,test_mrr,test_h1,test_h3,test_h10
TransE,esm2,0,29.57575798034668,0.30057039856910706,0.19191919267177582,0.30639731884002686,0.5723905563354492
TransE,esm2,1,29.89562225341797,0.2937659025192261,0.1818181872367859,0.30639731884002686,0.5252525210380554
TransE,esm2,2,34.47474670410156,0.29443272948265076,0.18518517911434174,0.30639731884002686,0.5555555820465088
TransE,esm2,3,31.016834259033203,0.2954719364643097,0.18855218589305878,0.3030303120613098,0.5319865345954895
TransE,esm2,4,34.114479064941406,0.3037531077861786,0.19191919267177582,0.3097642958164215,0.5757575631141663
TransE,ablang,0,29.531986236572266,0.2974400818347931,0.18518517911434174,0.30639731884002686,0.5723905563354492
TransE,ablang,1,29.747474670410156,0.29632264375686646,0.18518517911434174,0.30639731884002686,0.5252525210380554
TransE,ablang,2,34.41077423095703,0.2936587333679199,0.18518517911434174,0.3030303120613098,0.558922529220581
TransE,ablang,3,30.468013763427734,0.29398003220558167,0.18518517911434174,0.3030303120613098,0.5387205481529236
TransE,ablang,4,33.89562225341797,0.29868507385253906,0.18855218589305878,0.3030303120613098,0.5723905563354492
TransE,igbert,0,29.54208755493164,0.3006773293018341,0.19191919267177582,0.31313130259513855,0.5690235495567322
TransE,igbert,1,29.821548461914062,0.294741690158844,0.1818181872367859,0.30639731884002686,0.5252525210380554
TransE,igbert,2,34.191917419433594,0.2928495407104492,0.18518517911434174,0.3030303120613098,0.5622895359992981
TransE,igbert,3,32.87205505371094,0.2905358374118805,0.18518517911434174,0.28956228494644165,0.5420875549316406
TransE,igbert,4,33.919193267822266,0.3037414252758026,0.19191919267177582,0.3164983093738556,0.5690235495567322
