model,init,seed,test_mr,test_mrr,test_h1,test_h10
TransE,scaled_random,0,30.191919326782227,0.30018383264541626,0.19191919267177582,0.5656565427780151
TransE,scaled_random,1,29.632997512817383,0.29763227701187134,0.18518517911434174,0.5454545617103577
TransE,scaled_random,2,35.360267639160156,0.2990196943283081,0.18518517911434174,0.5353535413742065
TransE,scaled_random,3,31.89562225341797,0.2985057234764099,0.18855218589305878,0.5387205481529236
TransE,scaled_random,4,35.767677307128906,0.30113649368286133,0.18855218589305878,0.5656565427780151
RefE,scaled_random,0,24.090909957885742,0.2940891981124878,0.17845118045806885,0.5555555820465088
RefE,scaled_random,1,23.037036895751953,0.30221232771873474,0.1818181872367859,0.558922529220581
RefE,scaled_random,2,23.511783599853516,0.300331711769104,0.1818181872367859,0.5488215684890747
RefE,scaled_random,3,24.107744216918945,0.295762300491333,0.18518517911434174,0.5925925970077515
RefE,scaled_random,4,24.47811508178711,0.2990339398384094,0.17845118045806885,0.5622895359992981
