model,init,seed,test_mr,test_mrr,test_h1,test_h3,test_h10
AttH,esm2,0,62.23905563354492,0.2993476390838623,0.1986531913280487,0.3265993297100067,0.48821547627449036
AttH,esm2,1,63.89562225341797,0.2880972921848297,0.18518517911434174,0.3030303120613098,0.4983164966106415
AttH,esm2,2,60.767677307128906,0.281221479177475,0.19191919267177582,0.2794612646102905,0.48821547627449036
AttH,esm2,3,84.8451156616211,0.28536027669906616,0.18518517911434174,0.2996633052825928,0.5016834735870361
AttH,esm2,4,60.89225769042969,0.2881302833557129,0.17845118045806885,0.3164983093738556,0.49494948983192444
AttH,random,0,75.62963104248047,0.28348642587661743,0.18855218589305878,0.2929292917251587,0.48821547627449036
AttH,random,1,70.6531982421875,0.28675374388694763,0.19191919267177582,0.2794612646102905,0.5050504803657532
AttH,random,2,73.82828521728516,0.28284019231796265,0.19528619945049286,0.2760942876338959,0.4511784613132477
AttH,random,3,110.8047103881836,0.27698490023612976,0.17845118045806885,0.28282827138900757,0.48148149251937866
AttH,random,4,62.80471420288086,0.2845211625099182,0.20202019810676575,0.25589224696159363,0.48148149251937866
RefH,esm2,0,449.1212158203125,0.2845652103424072,0.17845118045806885,0.30639731884002686,0.5286195278167725
RefH,esm2,1,423.26263427734375,0.2818535268306732,0.17845118045806885,0.28956228494644165,0.5488215684890747
RefH,esm2,2,437.2255859375,0.28806766867637634,0.17845118045806885,0.3097642958164215,0.5050504803657532
RefH,esm2,3,429.1750793457031,0.28694674372673035,0.17845118045806885,0.31986531615257263,0.5050504803657532
RefH,esm2,4,400.42425537109375,0.2804799973964691,0.17845118045806885,0.27272728085517883,0.5353535413742065
RefH,random,0,469.57574462890625,0.28453510999679565,0.17845118045806885,0.3030303120613098,0.5252525210380554
RefH,random,1,444.5420837402344,0.2818494141101837,0.17845118045806885,0.2861952781677246,0.5420875549316406
RefH,random,2,455.8720397949219,0.28828880190849304,0.17845118045806885,0.30639731884002686,0.5084174871444702
RefH,random,3,443.1986389160156,0.2869165241718292,0.17845118045806885,0.3164983093738556,0.5084174871444702
RefH,random,4,420.9663391113281,0.28054848313331604,0.17845118045806885,0.2760942876338959,0.5286195278167725
RotH,esm2,0,33.38720703125,0.2694357931613922,0.1582491546869278,0.2794612646102905,0.5050504803657532
RotH,esm2,1,34.54545593261719,0.26394397020339966,0.14478114247322083,0.28956228494644165,0.5016834735870361
RotH,esm2,2,35.814815521240234,0.2502441108226776,0.12794612348079681,0.2794612646102905,0.4747474789619446
RotH,esm2,3,34.447811126708984,0.2644997537136078,0.14814814925193787,0.2861952781677246,0.5016834735870361
RotH,esm2,4,32.90909194946289,0.2677339017391205,0.15488214790821075,0.2861952781677246,0.4915824830532074
RotH,random,0,42.9595947265625,0.2857974171638489,0.19191919267177582,0.2996633052825928,0.47138047218322754
RotH,random,1,40.88888931274414,0.26122185587882996,0.16161616146564484,0.26599326729774475,0.4680134654045105
RotH,random,2,34.43434524536133,0.2601476311683655,0.16161616146564484,0.2760942876338959,0.4579124450683594
RotH,random,3,41.74074172973633,0.2290724366903305,0.11447811126708984,0.25589224696159363,0.4343434274196625
RotH,random,4,41.683502197265625,0.27435168623924255,0.1750841736793518,0.28956228494644165,0.47138047218322754
