model,init,seed,test_mr,test_mrr,test_h1,test_h3,test_h10
TransE,esm2,0,35.63333511352539,0.2902340292930603,0.15000000596046448,0.3166666626930237,0.6277777552604675
TransE,esm2,1,37.31666564941406,0.2898384630680084,0.15555556118488312,0.3166666626930237,0.6111111044883728
TransE,esm2,2,34.81111145019531,0.2956727147102356,0.1666666716337204,0.3222222328186035,0.6222222447395325
TransE,esm2,3,34.838890075683594,0.28991103172302246,0.16111111640930176,0.30000001192092896,0.6111111044883728
TransE,esm2,4,38.08333206176758,0.28137579560279846,0.15000000596046448,0.2944444417953491,0.6111111044883728
RotE,esm2,0,34.49444580078125,0.273183673620224,0.14444445073604584,0.28333333134651184,0.6000000238418579
RotE,esm2,1,36.89444351196289,0.2484736293554306,0.15000000596046448,0.24444444477558136,0.46666666865348816
RotE,esm2,2,34.655555725097656,0.2919173836708069,0.16111111640930176,0.33888888359069824,0.5777778029441833
RotE,esm2,3,35.05555725097656,0.2743540406227112,0.14444445073604584,0.30000001192092896,0.5444444417953491
RotE,esm2,4,34.127777099609375,0.29226136207580566,0.16111111640930176,0.3166666626930237,0.6277777552604675
RefE,esm2,0,34.483333587646484,0.2721400558948517,0.15555556118488312,0.30000001192092896,0.5333333611488342
RefE,esm2,1,34.488887786865234,0.2817177176475525,0.16111111640930176,0.2944444417953491,0.5722222328186035
RefE,esm2,2,33.57222366333008,0.27819696068763733,0.14444445073604584,0.31111112236976624,0.5944444537162781
RefE,esm2,3,33.344444274902344,0.2703392803668976,0.14444445073604584,0.2944444417953491,0.5722222328186035
RefE,esm2,4,35.07222366333008,0.30176466703414917,0.1666666716337204,0.33888888359069824,0.605555534362793
MurE,esm2,0,37.33333206176758,0.25410279631614685,0.16111111640930176,0.23333333432674408,0.46666666865348816
MurE,esm2,1,40.00555419921875,0.2460140436887741,0.15555556118488312,0.25,0.4555555582046509
MurE,esm2,2,40.03888702392578,0.24273300170898438,0.1388888955116272,0.25555557012557983,0.4611110985279083
MurE,esm2,3,38.488887786865234,0.23516815900802612,0.13333334028720856,0.23888888955116272,0.43888887763023376
MurE,esm2,4,41.20000076293945,0.24400444328784943,0.14444445073604584,0.25555557012557983,0.4722222089767456
AttE,esm2,0,38.766666412353516,0.24965009093284607,0.15000000596046448,0.25555557012557983,0.4611110985279083
AttE,esm2,1,40.56111145019531,0.2381453812122345,0.1388888955116272,0.21666666865348816,0.4555555582046509
AttE,esm2,2,39.32777786254883,0.24340638518333435,0.1388888955116272,0.22777777910232544,0.5222222208976746
AttE,esm2,3,37.69444274902344,0.24108178913593292,0.13333334028720856,0.25555557012557983,0.4888888895511627
AttE,esm2,4,40.43333435058594,0.2447414994239807,0.13333334028720856,0.2666666805744171,0.4888888895511627
